"filename", "language", "XML", "JSON", "C#", "Swift", "YAML", "Properties", "Gradle", "C++", "HTML", "Dart", "Markdown", "Docker", "comment", "blank", "total"
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\ITemporaryUserRoleRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IUserProfileRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherAlertRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherConditionRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherForecastRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherNotificationRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\PagedBaseRequest.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\PagedBaseResponse.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Validation\DomainExceptionValidation.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Projetos\weather-tracking\Api\iVertion.Domain\Validation\IdentityValidation.cs", "C#", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 136
"c:\Projetos\weather-tracking\Api\iVertion.Domain\iVertion.Domain.csproj", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Context\ApplicationDbContext.cs", "C#", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 45
